ID Empleado,Edad,Género,Antigüedad en la Empresa,Rol de Trabajo,Ingreso Mensual,Balance Trabajo-Vida,Satisfacción del Trabajo,Desempeño,Número de Promociones,Horas Extras,Distancia a Casa,Nivel de Educación,Estado Civil,Número de Dependientes,Nivel de Trabajo,Tamaño de Empresa,Meses desde el último evento,Trabajo Remoto,Oportunidades de Liderazgo,Oportunidades de Innovación,Reputación de la Empresa,Reconocimiento a Empleado,Deserción
64756,59,1,4,0,5534,0,2,0,3,0,21,3,0,3,0,0,21,0,0,0,0,0,0
65791,36,1,7,1,3989,2,2,3,1,0,27,0,2,2,0,1,50,1,0,0,1,1,0
24368,38,1,3,2,9977,1,2,1,3,0,37,2,1,0,0,0,47,0,0,1,0,2,1
64970,47,0,23,1,3681,1,2,3,1,1,75,0,0,3,1,1,93,0,0,0,1,1,1
36999,48,0,16,3,11223,3,3,3,2,0,5,3,1,4,1,0,88,0,0,0,2,0,0
15944,24,1,1,4,7319,0,2,2,1,1,57,4,2,4,1,2,45,0,0,1,1,0,1
29972,30,1,12,1,5443,2,2,2,1,0,51,0,2,1,1,1,17,0,0,0,1,1,1
9063,29,1,6,4,8950,0,1,0,2,0,26,3,2,0,0,0,38,0,0,0,3,1,1
17696,40,1,4,3,5176,0,2,2,0,0,48,0,2,0,1,1,21,1,0,0,1,2,1
19288,33,1,1,3,8733,2,2,1,1,1,86,0,2,0,0,1,19,0,0,0,1,0,0
9697,29,0,9,4,7538,1,1,2,0,0,10,2,1,0,2,1,76,0,0,0,1,2,0
45399,57,1,33,4,8201,2,3,2,0,0,95,4,1,1,0,0,95,0,0,0,0,1,0
58984,39,1,1,3,8079,3,2,3,1,0,23,3,2,0,1,0,20,0,0,0,3,0,1
24208,36,0,13,0,5874,1,2,2,0,0,16,0,2,1,0,0,40,0,0,0,1,2,1
14291,54,0,5,1,4656,2,1,2,0,1,63,0,2,0,0,0,60,0,0,0,1,0,1
20748,48,0,9,1,4987,1,2,2,1,0,92,1,0,0,1,0,23,0,0,1,1,1,1
65251,45,1,21,4,7571,2,3,2,1,1,30,1,1,1,1,1,67,1,0,0,0,1,0
